iter	Passed	Remaining
0	0	230
1	1	207
2	2	201
3	3	195
4	3	194
5	4	193
6	5	193
7	6	193
8	7	193
9	7	190
10	8	190
11	9	190
12	10	189
13	10	189
14	11	188
15	12	187
16	13	186
17	14	186
18	14	185
19	15	184
20	16	183
21	17	181
22	17	180
23	18	179
24	19	179
25	20	178
26	20	177
27	21	176
28	22	175
29	23	174
30	23	173
31	24	172
32	25	172
33	26	172
34	27	172
35	28	171
36	28	170
37	29	169
38	30	169
39	31	168
40	32	168
41	32	167
42	33	166
43	34	165
44	35	164
45	35	163
46	36	162
47	37	162
48	38	162
49	39	160
50	39	160
51	40	159
52	41	158
53	42	158
54	43	157
55	43	156
56	44	156
57	45	155
58	46	154
59	47	154
60	47	153
61	48	152
62	49	151
63	50	151
64	51	150
65	51	149
66	52	148
67	53	147
68	54	147
69	55	146
70	55	145
71	56	144
72	57	143
73	58	143
74	59	142
75	59	141
76	60	141
77	61	140
78	62	139
79	63	138
80	63	137
81	64	136
82	65	135
83	65	135
84	66	133
85	67	132
86	67	131
87	68	130
88	69	130
89	70	129
90	70	128
91	71	127
92	72	126
93	72	125
94	73	125
95	74	124
96	74	122
97	75	122
98	76	121
99	77	120
100	78	119
101	78	118
102	79	118
103	80	117
104	81	116
105	81	115
106	82	115
107	83	114
108	84	113
109	85	113
110	85	112
111	86	111
112	87	110
113	88	109
114	89	109
115	89	108
116	90	107
117	91	107
118	92	106
119	93	105
120	93	104
121	94	103
122	95	103
123	96	102
124	97	101
125	97	100
126	98	100
127	99	99
128	100	98
129	100	97
130	101	97
131	102	96
132	103	95
133	104	94
134	105	94
135	105	93
136	106	92
137	107	91
138	108	91
139	108	90
140	109	89
141	110	88
142	111	87
143	112	87
144	112	86
145	113	85
146	114	84
147	115	84
148	116	83
149	117	82
150	118	82
151	118	81
152	119	80
153	120	79
154	121	78
155	121	78
156	122	77
157	123	76
158	124	75
159	124	74
160	125	74
161	126	73
162	127	72
163	128	72
164	129	71
165	130	70
166	131	69
167	131	69
168	132	68
169	133	67
170	134	66
171	135	65
172	135	65
173	136	64
174	137	63
175	139	63
176	139	62
177	140	61
178	141	60
179	142	60
180	143	59
181	144	58
182	144	57
183	145	57
184	146	56
185	147	55
186	148	54
187	148	53
188	149	53
189	150	52
190	151	51
191	152	50
192	152	49
193	153	49
194	154	48
195	155	47
196	155	46
197	156	45
198	157	45
199	158	44
200	159	43
201	160	42
202	160	41
203	161	41
204	162	40
205	163	39
206	164	38
207	165	38
208	165	37
209	167	36
210	170	36
211	171	35
212	172	34
213	173	34
214	174	33
215	176	32
216	177	31
217	178	31
218	178	30
219	180	29
220	181	28
221	182	27
222	183	27
223	183	26
224	184	25
225	185	24
226	186	23
227	187	22
228	188	22
229	189	21
230	190	20
231	191	19
232	192	18
233	192	18
234	193	17
235	194	16
236	195	15
237	196	14
238	197	14
239	197	13
240	198	12
241	199	11
242	200	10
243	201	9
244	202	9
245	203	8
246	204	7
247	205	6
248	206	5
249	206	4
250	207	4
251	208	3
252	209	2
253	210	1
254	211	0
255	211	0
